traits	lat	long
hDenV2/Colombia/MET-UR-207/2023/EPI_ISL_18363167/2023-05-01	2.8631702	-71.8978539
hDenV2/Colombia/MET-UR-237/2023/EPI_ISL_18363168/2023-05-03	2.8631702	-71.8978539
hDenV2/Colombia/un-UDEA-LET1268/2023/EPI_ISL_18474688/2023-02-07	-4.2081	-69.9432
hDenV2/Colombia/un-UDEA-LET1208/2022/EPI_ISL_18474689/2022-11-30	-4.2081	-69.9432
hDenV2/Colombia/un-UDEA-1145/2022/EPI_ISL_18474690/2022-10-28	4.59808	-74.076044
hDenV2/Colombia/un-UDEA-LET1260/2023/EPI_ISL_18474691/2023-02-01	-4.2081	-69.9432
hDenV2/Colombia/un-UDEA-1262/2023/EPI_ISL_18474692/2023-02-02	4.59808	-74.076044
hDenV2/Colombia/un-UDEA-1125/2022/EPI_ISL_18474693/2022-10-15	4.59808	-74.076044
hDenV2/Colombia/un-UDEA-1127/2022/EPI_ISL_18474694/2022-10-19	4.59808	-74.076044
hDenV2/Colombia/un-UDEA-LET1205/2022/EPI_ISL_18474695/2022-11-30	-4.2081	-69.9432
hDenV2/Colombia/un-UDEA-LET1232/2022/EPI_ISL_18474696/2022-12-15	-4.2081	-69.9432
hDenV2/Colombia/un-UDEA-LET1199/2022/EPI_ISL_18474697/2022-11-25	-4.2081	-69.9432
hDenV2/Colombia/un-UDEA-LET1259/2023/EPI_ISL_18474698/2023-02-01	-4.2081	-69.9432
hDenV2/Colombia/un-UDEA-LET1287/2023/EPI_ISL_18474699/2023-02-10	-4.2081	-69.9432
hDenV2/Colombia/un-UDEA-LET1270/2023/EPI_ISL_18474700/2023-02-08	-4.2081	-69.9432
hDenV2/Colombia/un-UDEA-LET1209/2022/EPI_ISL_18474701/2022-11-30	-4.2081	-69.9432
hDenV2/Colombia/un-UDEA-1160/2022/EPI_ISL_18474702/2022-11-04	4.59808	-74.076044
hDenV2/Colombia/un-UDEA-LET1269/2023/EPI_ISL_18474703/2023-02-08	-4.2081	-69.9432
hDenV2/Colombia/un-UDEA-LET1206/2022/EPI_ISL_18474704/2022-11-30	-4.2081	-69.9432
hDenV2/Colombia/un-UDEA-LET1202/2022/EPI_ISL_18474705/2022-11-26	-4.2081	-69.9432
hDenV2/Colombia/un-UDEA-LET1172/2022/EPI_ISL_18474706/2022-11-10	-4.2081	-69.9432
hDenV2/Colombia/un-UDEA-LET1225/2022/EPI_ISL_18474707/2022-12-13	-4.2081	-69.9432
