Year,reporting_delay,p
2007,1,0.2565638024527139
2007,2,0.16812027539992644
2007,3,0.11161379286178745
2007,4,0.07761164965368067
2007,5,0.05616810404798737
2007,6,0.04197990278744325
2007,7,0.03220474922710192
2007,8,0.025241540058872067
2007,9,0.020142068673724707
2007,10,0.01631953113549411
2007,11,0.013396822794885117
2007,12,0.0111236445580561
2007,13,0.009329173695871296
2007,14,0.00789397471424472
2007,15,0.006732753588236339
2007,16,0.005783448808991348
2007,17,0.005000146492363649
2007,18,0.004348369962082553
2007,19,0.0038018817236412567
2007,20,0.003340470973954947
2007,21,0.0029483966717381875
2007,22,0.0026132748719693163
2007,23,0.0023252722748359923
2007,24,0.0020765141275577137
2007,25,0.0018606443189893992
2007,26,0.0016724949527310348
2007,27,0.0015078356277769516
2007,28,0.0013631814031677665
2007,29,0.0012356444187885576
2007,30,0.0011228183081549218
2007,31,0.0010226874659329539
2007,32,9.335553139386246e-4
2007,33,8.539872047358289e-4
2007,34,7.827646872593524e-4
2007,35,7.188486539814015e-4
2007,36,6.613494767723482e-4
2007,37,6.095026765292095e-4
2007,38,5.626490005680454e-4
2007,39,5.202180306681696e-4
2007,40,4.8171463431715225e-4
2007,41,4.4670771719830635e-4
2007,42,4.1482084728190294e-4
2007,43,3.8572440811561877e-4
2007,44,3.591290070513139e-4
2007,45,3.3477991766521037e-4
2007,46,3.1245237788476944e-4
2007,47,2.9194759886577563e-4
2007,48,2.7308936639685986e-4
2007,49,2.557211380214334e-4
2007,50,2.3970355629334517e-4
2007,51,2.2491231249954395e-4
2007,52,2.112363064719831e-4
2007,53,1.985760573039576e-4
2007,54,1.868423273002159e-4
2007,55,1.7595492765432863e-4
2007,56,1.658416794210444e-4
2007,57,1.5643750754245296e-4
2007,58,1.476836491596022e-4
2007,59,1.3952696032787953e-4
2007,60,1.3191930766113684e-4
2007,61,1.2481703344187608e-4
2007,62,1.1818048442219377e-4
2007,63,1.1197359595891932e-4
2007,64,1.0616352432242377e-4
2007,65,1.0072032102944283e-4
2007,66,9.5616643906747e-5
2007,67,9.082750031992773e-5
2007,68,8.633001862083572e-5
2007,69,8.210324439559065e-5
2007,70,7.812795854690307e-5
2007,71,7.438651463164336e-5
2007,72,7.086269320707421e-5
2007,73,6.754157122526317e-5
2007,74,6.440940476183935e-5
2007,75,6.145352357832838e-5
2007,76,5.866223620167875e-5
2007,77,5.602474436445879e-5
2007,78,5.3531065788039024e-5
2007,79,5.11719644118712e-5
2007,80,4.893888727724133e-5
2007,81,4.6823907365763914e-5
2007,82,4.4819671773221386e-5
2007,83,4.291935466969977e-5
2007,84,4.111661455867174e-5
2007,85,3.940555540185733e-5
2007,86,3.778069122436199e-5
2007,87,3.623691385656288e-5
2007,88,3.476946350625324e-5
2007,89,3.337390188725018e-5
2007,90,3.204608765960201e-5
2007,91,3.078215396214417e-5
2007,92,2.9578487840860993e-5
2007,93,2.8431711396678344e-5
2007,94,2.7338664494229496e-5
2007,95,2.6296388889087667e-5
2007,96,2.5302113645167766e-5
2007,97,2.4353241726672816e-5
2007,98,2.344733766028041e-5
