accession_id	country	assignment	collection_date
EPI_ISL_12665303	Colombia	2III_D.2	2021-05-10
EPI_ISL_12665304	Colombia	2III_D.2	2021-04-09
EPI_ISL_12665305	Colombia	2III_D.2	2021-04-09
EPI_ISL_17600403	Colombia	2III_D.2	2021-11-20
EPI_ISL_17783304	Colombia	2III_D	2016-05-15
EPI_ISL_17783305	Colombia	2III_D	2016-05-29
EPI_ISL_17783306	Colombia	2III_D.2	2016-08-16
EPI_ISL_17783307	Colombia	2III_D.2	2016-07-14
EPI_ISL_17783308	Colombia	2III_D.2	2016-07-22
EPI_ISL_17783309	Colombia	2III_D.2	2016-07-22
EPI_ISL_17783310	Colombia	2III_D.2	2016-07-22
EPI_ISL_17783311	Colombia	2III_D	2016-08-18
EPI_ISL_17783312	Colombia	2III_D	2016-08-23
EPI_ISL_17783313	Colombia	2III_D.2	2016-08-18
EPI_ISL_17783314	Colombia	2III_D	2016-01-28
EPI_ISL_17783315	Colombia	2III_D.2	2016-01-04
EPI_ISL_17783316	Colombia	2III_D	2016-01-16
EPI_ISL_17783317	Colombia	2III_D	2013-08-06
EPI_ISL_17783318	Colombia	2III_D.2	2013-02-23
EPI_ISL_17783319	Colombia	2III_D	2013-03-24
EPI_ISL_17783320	Colombia	2III_D.3	2013-04-20
EPI_ISL_17783321	Colombia	2III_D.3	2013-07-09
EPI_ISL_17783322	Colombia	2III_D	2015-11-01
EPI_ISL_17783323	Colombia	2III_D	2013-10-26
EPI_ISL_17783326	Colombia	2III_D	2014-01-14
EPI_ISL_17783327	Colombia	2III_D	2014-09-18
EPI_ISL_17783328	Colombia	2III_D	2015-08-20
EPI_ISL_17783330	Colombia	2III_D	2015-08-25
EPI_ISL_17783331	Colombia	2III_D	2015-09-05
EPI_ISL_17783335	Colombia	2III_D.2	2015-08-27
EPI_ISL_17783336	Colombia	2III_D	2013-08-07
EPI_ISL_17977444	Colombia	2III_D.2	2021-11-11
EPI_ISL_18081096	Colombia	2III_D.2	2006-01-01
EPI_ISL_18363167	Colombia	2II_F.1.2	2023-05-01
EPI_ISL_18363168	Colombia	2II_F.1.2	2023-05-03
EPI_ISL_18474688	Colombia	2II_F.1.2	2023-02-07
EPI_ISL_18474689	Colombia	2II_F.1.2	2022-11-30
EPI_ISL_18474690	Colombia	2II_F.1.2	2022-10-28
EPI_ISL_18474691	Colombia	2II_F.1.2	2023-02-01
